index,lat,lon,avg_pm25,risk
0,30.3398,78.0644,25.332410901467508,LOW
1,30.3165,78.0322,25.635656184486372,LOW
2,30.3245,78.0425,26.871486373165617,LOW
3,30.275,78.02,30.354331236897277,LOW
4,30.3058,77.9958,18.319446540880502,LOW
5,30.36,77.98,28.735274633123687,LOW
6,30.35,78.055,24.164364779874212,LOW
7,30.3121,78.0432,34.383677148846964,LOW
8,30.3272,78.0612,18.839366876310272,LOW
9,30.3348,77.9962,33.29519077568134,LOW
10,30.3215,78.041,26.871486373165617,LOW
11,30.362,78.048,23.10503983228512,LOW
12,30.385,78.065,25.9197106918239,LOW
13,29.9582,78.1642,23.310075471698113,LOW
14,29.92,78.14,34.75327463312369,LOW
15,29.945,78.155,22.17938155136268,LOW
16,29.98,78.135,25.075744234800844,LOW
17,29.965,78.12,25.248872117400417,LOW
18,29.946,78.162,22.17938155136268,LOW
19,29.93,78.15,17.09061215932914,LOW
20,29.91,78.125,35.5919748427673,LOW
21,30.127,78.324,21.078775681341718,LOW
22,30.1058,78.2983,21.358999999999998,LOW
23,30.095,78.28,28.776658280922433,LOW
24,30.118,78.305,14.674285115303983,LOW
25,30.102,78.3,21.358999999999998,LOW
26,30.08,78.275,29.060725366876312,LOW
27,30.072,78.29,31.020146750524106,LOW
28,30.3398,78.0644,25.332410901467508,LOW
29,30.3165,78.0322,25.635656184486372,LOW
30,30.3245,78.0425,26.871486373165617,LOW
31,30.275,78.02,30.354331236897277,LOW
32,30.3058,77.9958,18.319446540880502,LOW
33,30.36,77.98,28.735274633123687,LOW
34,30.35,78.055,24.164364779874212,LOW
35,30.3121,78.0432,34.383677148846964,LOW
36,30.3272,78.0612,18.839366876310272,LOW
37,30.3348,77.9962,33.29519077568134,LOW
38,30.3215,78.041,26.871486373165617,LOW
39,30.362,78.048,23.10503983228512,LOW
40,30.385,78.065,25.9197106918239,LOW
41,29.9582,78.1642,23.310075471698113,LOW
42,29.92,78.14,34.75327463312369,LOW
43,29.945,78.155,22.17938155136268,LOW
44,29.98,78.135,25.075744234800844,LOW
45,29.965,78.12,25.248872117400417,LOW
46,29.946,78.162,22.17938155136268,LOW
47,29.93,78.15,17.09061215932914,LOW
48,29.91,78.125,35.5919748427673,LOW
49,30.127,78.324,21.078775681341718,LOW
50,30.1058,78.2983,21.358999999999998,LOW
51,30.095,78.28,28.776658280922433,LOW
52,30.118,78.305,14.674285115303983,LOW
53,30.102,78.3,21.358999999999998,LOW
54,30.08,78.275,29.060725366876312,LOW
55,30.072,78.29,31.020146750524106,LOW
56,30.3398,78.0644,25.332410901467508,LOW
57,30.3398,78.0644,25.332410901467508,LOW
58,30.3165,78.0322,25.635656184486372,LOW
59,30.3165,78.0322,25.635656184486372,LOW
60,30.3245,78.0425,26.871486373165617,LOW
61,30.3245,78.0425,26.871486373165617,LOW
62,30.275,78.02,30.354331236897277,LOW
63,30.275,78.02,30.354331236897277,LOW
64,30.3058,77.9958,18.319446540880502,LOW
65,30.3058,77.9958,18.319446540880502,LOW
66,30.36,77.98,28.735274633123687,LOW
67,30.36,77.98,28.735274633123687,LOW
68,30.35,78.055,24.164364779874212,LOW
69,30.35,78.055,24.164364779874212,LOW
70,30.3121,78.0432,34.383677148846964,LOW
71,30.3121,78.0432,34.383677148846964,LOW
72,30.3272,78.0612,18.839366876310272,LOW
73,30.3272,78.0612,18.839366876310272,LOW
74,30.3348,77.9962,33.29519077568134,LOW
75,30.3348,77.9962,33.29519077568134,LOW
76,30.3215,78.041,26.871486373165617,LOW
77,30.3215,78.041,26.871486373165617,LOW
78,30.362,78.048,23.10503983228512,LOW
79,30.362,78.048,23.10503983228512,LOW
80,30.385,78.065,25.9197106918239,LOW
81,30.385,78.065,25.9197106918239,LOW
82,29.9582,78.1642,23.310075471698113,LOW
83,29.9582,78.1642,23.310075471698113,LOW
84,29.92,78.14,34.75327463312369,LOW
85,29.92,78.14,34.75327463312369,LOW
86,29.945,78.155,22.17938155136268,LOW
87,29.945,78.155,22.17938155136268,LOW
88,29.98,78.135,25.075744234800844,LOW
89,29.98,78.135,25.075744234800844,LOW
90,29.965,78.12,25.248872117400417,LOW
91,29.965,78.12,25.248872117400417,LOW
92,29.946,78.162,22.17938155136268,LOW
93,29.946,78.162,22.17938155136268,LOW
94,29.93,78.15,17.09061215932914,LOW
95,29.93,78.15,17.09061215932914,LOW
96,29.91,78.125,35.5919748427673,LOW
97,29.91,78.125,35.5919748427673,LOW
98,30.127,78.324,21.078775681341718,LOW
99,30.127,78.324,21.078775681341718,LOW
100,30.1058,78.2983,21.358999999999998,LOW
101,30.1058,78.2983,21.358999999999998,LOW
102,30.095,78.28,28.776658280922433,LOW
103,30.095,78.28,28.776658280922433,LOW
104,30.118,78.305,14.674285115303983,LOW
105,30.118,78.305,14.674285115303983,LOW
106,30.102,78.3,21.358999999999998,LOW
107,30.102,78.3,21.358999999999998,LOW
108,30.08,78.275,29.060725366876312,LOW
109,30.08,78.275,29.060725366876312,LOW
110,30.072,78.29,31.020146750524106,LOW
111,30.072,78.29,31.020146750524106,LOW
112,30.3398,78.0644,25.332410901467508,LOW
113,30.3165,78.0322,25.635656184486372,LOW
114,30.3245,78.0425,26.871486373165617,LOW
115,30.275,78.02,30.354331236897277,LOW
116,30.3058,77.9958,18.319446540880502,LOW
117,30.36,77.98,28.735274633123687,LOW
